Server,Date,Time,Application,User,Memory,Path
WINSERVER-1,07/20/2022,07/20/2022 21:23:53,Code,ansible,20.96MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,11.54MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:47,Code,ansible,30.61MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:45,Code,ansible,38.2MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,140.55MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,9.93MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,129.4MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:40,Code,ansible,31.98MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:45,Code,ansible,48.87MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:25:31,ImagingDevices,ansible,3.55MB,C:\Program Files (x86)\Windows Photo Viewer\ImagingDevices.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:53,Code,ansible,20.96MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,11.54MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:47,Code,ansible,30.61MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:45,Code,ansible,38.2MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,140.55MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,9.93MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:41,Code,ansible,129.4MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:40,Code,ansible,31.98MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:23:45,Code,ansible,48.87MB,C:\Program Files\Microsoft VS Code\Code.exe
WINSERVER-1,07/20/2022,07/20/2022 21:25:31,ImagingDevices,ansible,3.55MB,C:\Program Files (x86)\Windows Photo Viewer\ImagingDevices.exe
